瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),弥历扁柯(∑C),弥绊扁柯(∑C),老碍荐樊(mm),乞闭 浅加(m/s),乞闭 捞浇痢柯档(∑C),乞闭 惑措嚼档(%),乞闭 刘扁拘(hPa),乞闭 泅瘤扁拘(hPa),乞闭 秦搁扁拘(hPa),钦拌 老炼矫埃(hr),钦拌 老荤樊(MJ/m2)
156,堡林,2013-09-07,21.1,17.7,26.5,0.5,1.8,17.3,79.9,19.7,1008.8,1017.2,4.6,13.34
156,堡林,2013-09-08,22.7,18,29.2,,1.8,16.4,70.6,18.6,1009.1,1017.5,8.2,19
156,堡林,2013-09-09,23.1,17.9,29.1,,1.2,16.5,68.6,18.8,1007.3,1015.7,9,19.06
156,堡林,2013-09-10,24.3,19.9,28.5,0,1.6,17,64.6,19.4,1005.4,1013.7,3.5,13.2
156,堡林,2013-09-11,23.5,21.6,28,9,1.7,19.6,79.3,22.9,1006,1014.3,1.1,4.86
156,堡林,2013-09-12,21.5,19,24.6,12.5,1.7,19.1,86.8,22.1,1008.1,1016.4,0.3,4.61
156,堡林,2013-09-13,25.7,21.2,30.2,,3.1,21.2,77,25.2,1004.3,1012.5,7.9,14.26
156,堡林,2013-09-14,23,20.9,26.7,48.5,1.5,20.5,86.1,24.1,1001.8,1010.1,2.6,7.26
156,堡林,2013-09-15,24,19.2,29.5,,2.7,17.5,69.4,20,999.9,1008.1,11.3,20.74
156,堡林,2013-09-16,22.2,17.6,28.1,,1.9,11.2,53.3,13.5,1004.2,1012.5,11.7,22.67
156,堡林,2013-09-17,23.1,16.1,30.1,,1.2,15.1,63.3,17.2,1009.4,1017.7,11,20.2
156,堡林,2013-09-18,25.4,19.1,32.1,,1.9,17,62.1,19.3,1010.9,1019.2,10.1,19.23
156,堡林,2013-09-19,24.7,19.8,30.9,,1.4,16,60.5,18.2,1009.7,1018,11.1,19.89
156,堡林,2013-09-20,24.2,18.7,30.4,,1.2,17.3,67.3,19.7,1007.8,1016.1,11.2,20.77
156,堡林,2013-09-21,24.7,19.4,30.9,,1.2,17.8,68,20.4,1006.5,1014.8,11,19.84
156,堡林,2013-09-22,25.2,20.1,31,,1.7,17.8,65.8,20.4,1007.5,1015.8,8,15.18
156,堡林,2013-09-23,24.5,19,30.6,,2.4,16.2,61.4,18.5,1007.1,1015.4,9,17.45
156,堡林,2013-09-24,23.3,20.2,27.9,0.5,1.3,18.6,75.9,21.5,1004.3,1012.6,3.8,9.53
156,堡林,2013-09-25,19.2,16.2,24.4,1.5,2.1,13.1,69.8,15.3,1004,1012.4,6.4,14.32
156,堡林,2013-09-26,17.7,12.7,23.4,,3.1,5.5,47.6,9.1,1008.7,1017.2,11.2,21.35
156,堡林,2013-09-27,19.1,11.7,25.4,,1.5,8.1,50.4,10.9,1010,1018.5,10,19.04
156,堡林,2013-09-28,20.8,17.7,24.8,,1.5,14.1,66,16.2,1006.7,1015.1,0.6,6.45
156,堡林,2013-09-29,21.4,20.2,22.9,2,1.2,19,86.5,22,1006.1,1014.5,0,3.13
156,堡林,2013-09-30,23,19.7,28.5,2,1.1,18.3,77,21.1,1007.8,1016.1,7.8,15.53
156,堡林,2013-10-01,22.1,18.7,29.8,3.5,1.4,18.5,81.9,21.2,1007.2,1015.5,6,13.7
156,堡林,2013-10-02,19.5,15.2,25.4,4.5,1.8,15.1,76.6,17.5,1004.8,1013.2,5.8,11.86
156,堡林,2013-10-03,17.1,11.6,24.1,,3.4,7,54.8,10.1,1009.2,1017.7,10.9,20.02
156,堡林,2013-10-04,18.2,11.2,26.3,,2.4,7.7,53.5,10.5,1010.6,1019.1,10.9,20
156,堡林,2013-10-05,19.5,12.5,26.4,,2.8,11.5,61.9,13.7,1011.7,1020.2,7.8,16.15
156,堡林,2013-10-06,22.3,19.6,25.4,0.3,4.5,17.3,73.8,19.9,1012,1020.4,0.3,6.23
156,堡林,2013-10-07,24.6,20.6,29,,3.3,18.7,70.5,21.6,1009.4,1017.7,3.8,10.41
156,堡林,2013-10-08,21.7,19.2,24.2,8,3.6,18.7,83.4,21.6,1001.8,1010.2,0,5.16
156,堡林,2013-10-09,20.5,18.1,24.5,0.5,2,17.1,81.3,19.5,1005.8,1014.2,1.2,7.51
156,堡林,2013-10-10,20.5,18.9,22.4,14,1.2,18.6,89.4,21.5,1005.9,1014.3,0,3.03
156,堡林,2013-10-11,18.6,14,23.7,,2.2,12.7,70.5,15,1006.2,1014.6,7.8,14.59
156,堡林,2013-10-12,16.7,11.4,23.3,,2,5.2,50.9,9,1011.8,1020.4,10.5,18.15
156,堡林,2013-10-13,17.6,9.9,26.4,,1.3,7,54.6,10.1,1012.8,1021.4,10.4,17.78
156,堡林,2013-10-14,19.1,13.1,26.4,,1,10.8,61.4,12.9,1010.2,1018.7,10.2,16.66
156,堡林,2013-10-15,16.5,13.1,19.9,,2.3,11.6,73.8,13.7,1006.1,1014.7,7.8,13.94
156,堡林,2013-10-16,12.6,8.6,17.6,,2.1,4.2,59.5,8.3,1012.7,1021.4,10.5,18.04
156,堡林,2013-10-17,13,8,19.5,,1,5.2,61.5,8.9,1019.5,1028.3,6.6,12.3
156,堡林,2013-10-18,15.1,9.1,22.4,,1.9,6.6,59.8,9.8,1019.1,1027.8,9.1,16.36
156,堡林,2013-10-19,16.4,11.2,22.2,,1.8,9.2,64.1,11.7,1016,1024.7,6,12.25
156,堡林,2013-10-20,16.3,11.8,22.9,,1.2,10.1,68.6,12.3,1011.3,1019.8,9.5,13.98
156,堡林,2013-10-21,15.7,10.2,22.3,,1.2,9.8,70,12.1,1010.4,1019,9.1,14.42
156,堡林,2013-10-22,16.9,11.5,23.6,,1.8,9.4,64.6,11.8,1012.6,1021.2,9.9,15.46
156,堡林,2013-10-23,17.3,12.7,24,,2.6,9,59.6,11.4,1010.8,1019.4,9.7,15.34
156,堡林,2013-10-24,15.2,11,21.6,,2.5,7.7,62.5,10.6,1008.1,1016.7,9.6,14.34
156,堡林,2013-10-25,11.6,7.8,16.4,,3.7,0.4,48.5,6.4,1008.1,1016.9,10,15.88
156,堡林,2013-10-26,11.4,8.5,15.7,,2.3,3.7,60.1,8,1009.3,1018.1,9.9,14.48
156,堡林,2013-10-27,11.4,5.1,19.3,,1.1,4.1,64.6,8.3,1014.1,1022.9,9.9,15.04
156,堡林,2013-10-28,11.9,6.1,18.4,,0.8,2.6,58.1,7.5,1015.9,1024.7,7,12.16
156,堡林,2013-10-29,13.2,6,21.2,,1,4.3,59.5,8.4,1015.3,1024,9.5,13.31
156,堡林,2013-10-30,12.9,9.3,18.3,,1.7,5,62.3,8.9,1016.3,1025,9.6,14.63
156,堡林,2013-10-31,14.6,9,21.5,,1,7.5,64.1,10.4,1016.9,1025.6,6.5,11.38
156,堡林,2013-11-01,16.5,10.4,23.8,,1.4,9.4,65.1,11.8,1016.6,1025.2,9.3,12.01
156,堡林,2013-11-02,16.4,14.6,19.1,,1.4,11.6,74,13.7,1014.1,1022.7,0.4,3.15
156,堡林,2013-11-03,15.1,11.4,19.9,,1.4,9.6,71.3,12.1,1011.6,1020.2,3.3,6.96
156,堡林,2013-11-04,13.1,10.1,17.9,,1.5,7.3,69.6,10.2,1015.3,1024.1,8.1,9.91
156,堡林,2013-11-05,13.1,7.2,20.7,,1,6.2,66,9.5,1017.6,1026.4,9.1,13.03
156,堡林,2013-11-06,14.9,11,20.6,1,1,10.1,74.4,12.4,1011.8,1020.4,3,6.01
156,堡林,2013-11-07,13.4,8.4,19.9,,1.4,6,65.8,9.8,1011.8,1020.5,7.2,11.72
156,堡林,2013-11-08,11.2,5.1,18,,1.6,1.3,54.6,6.8,1017.2,1026.1,8.9,12.52
156,堡林,2013-11-09,14.1,9.9,16.8,23.5,1.5,9.9,77.1,12.6,1012.4,1021.1,0.2,2.18
156,堡林,2013-11-10,10.2,5.6,16.3,0.5,2.8,2.3,59.6,7.8,1010.7,1019.5,8.9,13.75
156,堡林,2013-11-11,7.2,4,9.9,,3.5,-3.2,48.4,4.9,1013.6,1022.5,8,13.02
156,堡林,2013-11-12,6.7,2.5,11.6,,2.8,-2.4,54.3,5.2,1013.2,1022.1,7.1,11.22
156,堡林,2013-11-13,7.1,2.4,13.4,,1.6,-1.6,57,5.5,1014.2,1023.1,9.6,13.67
156,堡林,2013-11-14,6.4,0.6,10.8,0.5,0.9,2.3,75.9,7.4,1013.1,1022.1,1.6,4.92
156,堡林,2013-11-15,10,6.4,15.8,0.3,1.2,4.3,69.9,8.4,1012.7,1021.5,8.6,11.17
156,堡林,2013-11-16,9,2.5,15.8,2.5,1,2.3,67,7.3,1009.5,1018.4,8.4,11.79
156,堡林,2013-11-17,8.1,3.4,11.7,5,2.3,0.1,60.9,6.5,1007.7,1016.6,8.6,11.49
156,堡林,2013-11-18,2.6,1,5.5,8.5,1.5,0.1,84.6,6.2,1009,1018,1.7,4.71
156,堡林,2013-11-19,5.1,0.9,8.4,0.5,1.8,-1.7,62.4,5.4,1010,1019,5.9,7.47
156,堡林,2013-11-20,5,2.4,8.1,0.2,1.3,-1.6,64.3,5.5,1013.2,1022.2,5,6.45
156,堡林,2013-11-21,5.5,0.6,11.2,,1.2,-0.7,65.8,5.8,1016.1,1025.1,9.2,11.4
156,堡林,2013-11-22,6.5,2.3,11.4,,1.5,-0.2,64.3,6,1017.3,1026.3,9,11.78
156,堡林,2013-11-23,7.4,2.4,12.8,,0.9,2,70.9,7.1,1016.1,1025.1,6.9,8.96
156,堡林,2013-11-24,10.6,5.6,14.4,26.5,2.7,5.6,73.3,9.3,1006,1014.8,2.8,5.5
156,堡林,2013-11-25,8,5.1,12.2,10,3.1,1.8,65.9,7.2,1003.1,1011.9,2.7,4.67
156,堡林,2013-11-26,5.3,2.1,10.6,,1.6,-2.6,57.6,5.1,1010.2,1019.2,7.1,8.59
156,堡林,2013-11-27,2.8,-0.6,5.5,5,2.1,-0.4,80.6,6,1008.6,1017.6,0.6,2.41
156,堡林,2013-11-28,-0.2,-2,2.5,7.9,1.3,-2.1,87.5,5.3,1012.6,1021.8,2.5,1.8
156,堡林,2013-11-29,2.4,-0.9,6.6,3.1,1.2,-0.4,82.5,5.9,1012.7,1021.8,6.9,9.22
156,堡林,2013-11-30,3.4,-1.4,8.2,,0.5,1.2,86.8,6.7,1013.6,1022.7,2.8,6.23
156,堡林,2013-12-01,4.8,1.9,11,,1,0.6,76.1,6.4,1013.7,1022.7,8.1,9.22
156,堡林,2013-12-02,4.1,-0.9,9.9,,1.1,-1.5,69.3,5.5,1013.7,1022.7,9,10.93
156,堡林,2013-12-03,5.8,0.8,11.6,,0.9,0.6,71.1,6.4,1012.7,1021.7,7.4,8.97
156,堡林,2013-12-04,5.9,1.7,11.5,0.1,0.8,1.7,76.6,6.9,1012.8,1021.7,8,9.25
156,堡林,2013-12-05,4.4,-0.9,8.3,,0.6,1.6,83.1,6.9,1011.5,1020.5,1.6,5.62
156,堡林,2013-12-06,5.5,2.3,10.4,,1.6,-3.6,56.5,4.9,1011.7,1020.7,9.1,11.41
156,堡林,2013-12-07,4.3,-1.1,11.4,,0.8,-2.6,62.9,5.1,1015.2,1024.3,9.1,10.61
156,堡林,2013-12-08,6.7,-0.2,14,,0.7,-0.1,64.9,6.1,1014.2,1023.1,8.4,10.51
156,堡林,2013-12-09,7.8,4.4,13.8,6.5,2.1,3.5,75.1,8.1,1003.1,1011.9,0,1.64
156,堡林,2013-12-10,4.6,3.9,7.3,,2.4,-3.7,54.8,4.6,1006.6,1015.6,5,7.47
156,堡林,2013-12-11,3,0.8,5.2,1.5,2.3,-4.3,60.5,4.6,1006.9,1015.9,3.5,4.89
156,堡林,2013-12-12,4.2,-1.2,8.6,1,3.3,-2.5,62.9,5.1,1010.6,1019.6,6.9,8.99
156,堡林,2013-12-13,0.5,-2.3,3.5,0.1,2.1,-4.7,68.1,4.4,1014.7,1023.8,5.1,6.83
156,堡林,2013-12-14,1.9,-2.3,6.7,0,1.4,-3.1,70.6,4.8,1018.6,1027.7,7.9,7.81
156,堡林,2013-12-15,1.4,-1.3,5.4,,3.7,-8,52.5,3.5,1022,1031.2,8.6,10.58
156,堡林,2013-12-16,1.2,-1.9,4.1,,1.7,-8.8,47.4,3.1,1019.7,1028.9,0,3.96
156,堡林,2013-12-17,4.7,0.4,8.2,,1.8,-5.5,48.5,4.1,1015.5,1024.5,0,3.89
156,堡林,2013-12-18,6.4,4.1,12.1,,2.4,-0.6,62,5.9,1012.3,1021.2,7.9,9.2
156,堡林,2013-12-19,0.6,-1.9,4.1,4.4,2.5,-4.4,71,4.5,1013.4,1022.5,5.9,7.25
156,堡林,2013-12-20,0.7,-1.2,2.1,2.5,1.6,-1.7,83.9,5.4,1014.1,1023.3,0,0.97
156,堡林,2013-12-21,0.1,-1.7,3.7,0,1,-3,80,4.9,1018.3,1027.6,7.8,9.66
156,堡林,2013-12-22,1,-3.4,5,,1.6,-4.9,65.8,4.3,1020.5,1029.7,7,8.76
156,堡林,2013-12-23,2.2,-0.2,7.1,,1.7,-4.3,62.4,4.5,1019.1,1028.2,6.2,8.16
156,堡林,2013-12-24,1.7,-2.5,7.8,,1.3,-4.6,64.4,4.3,1021.2,1030.4,8.9,10.81
156,堡林,2013-12-25,0.8,-3.1,5,,1,-3.7,72.3,4.7,1019.1,1028.2,2.9,4.71
156,堡林,2013-12-26,1.6,-1.1,5.6,0.3,1.5,-2.1,76.9,5.3,1012.5,1021.6,0,3.42
156,堡林,2013-12-27,-0.5,-1.5,2.9,0,3.1,-7.9,57.9,3.4,1013,1022.2,7.3,8.43
156,堡林,2013-12-28,-1.5,-4.2,2.1,0,2.4,-8.1,60.4,3.3,1013.5,1022.8,7.6,8.7
156,堡林,2013-12-29,-1.3,-5,2.3,1.8,0.8,-3.7,83.4,4.7,1013.9,1023.2,3.8,5.57
156,堡林,2013-12-30,3.2,-1.3,8.5,,1.7,-2.2,69.4,5.2,1010.3,1019.3,5.3,6.45
156,堡林,2013-12-31,4.9,-0.9,10.4,,2.3,-1.2,67.3,5.6,1006.6,1015.5,8.2,8.59
156,堡林,2014-01-01,5.2,0.9,10.6,,1.9,-4.1,54.5,4.6,1008.5,1017.5,7.5,9.46
156,堡林,2014-01-02,4.3,-0.5,10.3,,1.1,-6.2,51.1,4,1012.5,1021.5,7.7,8.75
156,堡林,2014-01-03,4.5,-0.9,11.8,,0.9,-6.6,47.3,3.7,1009,1018,6.7,7.93
156,堡林,2014-01-04,2.4,-0.9,6.7,,1.4,-6.2,55.4,3.9,1010.5,1019.6,9.1,11.03
156,堡林,2014-01-05,1.2,-3.5,7.6,,1.2,-8.1,54.4,3.4,1014.7,1023.9,9,10.7
156,堡林,2014-01-06,2.3,-3.2,8.8,,1.2,-7.2,51.9,3.6,1018.9,1028,9,10.32
156,堡林,2014-01-07,3.8,-2.2,9.6,,0.9,-5,54.1,4.2,1016.1,1025.2,5.6,7.37
156,堡林,2014-01-08,2.9,-0.7,6,1.5,2.9,-3.2,65.8,5,1012,1021.1,0.6,2.86
156,堡林,2014-01-09,-3.4,-6.6,-0.6,,4.1,-14.8,41.3,2,1019.8,1029.1,9.4,12.01
156,堡林,2014-01-10,-1.9,-7.3,3.5,0,1.3,-9.6,56.8,3.2,1023.3,1032.6,6.6,9.26
156,堡林,2014-01-11,1.1,-2.4,5.6,,1,-5.3,64,4.1,1023.1,1032.3,6.4,8.66
156,堡林,2014-01-12,0.7,-2.8,6,,1.4,-5.4,64,4.1,1020.4,1029.6,3.2,6.05
156,堡林,2014-01-13,-2.5,-6.2,2.6,,3.2,-16.2,38,1.8,1022.8,1032.2,8.9,11.88
156,堡林,2014-01-14,-1.3,-6.2,4.1,,3.3,-14.9,36,2,1023.5,1032.8,9.2,11.59
156,堡林,2014-01-15,-0.6,-4.6,4.7,,2.3,-10,50.1,2.9,1023.5,1032.8,9.2,11.24
156,堡林,2014-01-16,0.4,-5.1,6.5,,1.7,-7,59.4,3.6,1020.5,1029.8,8.7,10.46
156,堡林,2014-01-17,1.7,-3.1,7.5,,0.9,-4.1,67.1,4.5,1018.1,1027.2,6.3,8.64
156,堡林,2014-01-18,0.8,-1.9,4.3,0,2,-5.6,63.8,4.1,1019.3,1028.5,4.2,6.06
156,堡林,2014-01-19,0.2,-5.3,6.4,,1.8,-11.8,43.6,2.6,1020.3,1029.5,9,12.2
156,堡林,2014-01-20,2.2,-1.8,7.8,1.6,1.8,-3.5,67.9,4.8,1012.6,1021.7,4.3,6.93
156,堡林,2014-01-21,-2.3,-4.4,0.1,2.3,2.3,-6.3,74.3,3.8,1016.9,1026.2,2.7,5.51
156,堡林,2014-01-22,-1.2,-5.5,3.7,,2.2,-7.5,62.5,3.5,1020.1,1029.4,9.5,11.62
156,堡林,2014-01-23,0.4,-5.6,7.9,,1.2,-7.5,59.1,3.5,1018.1,1027.4,9.5,13.05
156,堡林,2014-01-24,6.8,0.1,13.6,,1.8,0.4,64,6.5,1013.1,1022.1,3.5,7.2
156,堡林,2014-01-25,9.1,3.6,12.8,4.5,2.2,5.2,77.1,9.1,1008.7,1017.5,0.8,3.54
156,堡林,2014-01-26,1.8,-2.1,8.2,,2.2,-8.6,50.4,3.3,1018.4,1027.6,9.8,13.5
156,堡林,2014-01-27,2.7,-4.5,10.6,,1.7,-7.1,54.1,3.7,1016.4,1025.5,9.7,13.34
156,堡林,2014-01-28,3.7,-0.6,10.4,,1.1,-4.4,57.6,4.5,1015.9,1024.9,6.9,9.39
156,堡林,2014-01-29,5.5,-3.8,14.2,1.5,1.4,-2.5,60.5,5.5,1013.4,1022.4,8.3,11.7
156,堡林,2014-01-30,6.9,3,9.1,1.5,1.5,5.4,90.6,9.1,1008.4,1017.3,0,1.13
156,堡林,2014-01-31,6.3,-0.6,13.8,,1.6,-1.8,60.9,5.5,1014.2,1023.2,9.2,12.26
156,堡林,2014-02-01,12,5,20.5,1.5,1.4,7.1,73.1,10.5,1006.7,1015.4,4.2,6.72
156,堡林,2014-02-02,10.9,7.2,14.9,,2,8.1,83.5,10.9,1001.8,1010.4,1.9,6.36
156,堡林,2014-02-03,2.8,-3.2,7.6,,3.2,-8.1,47.4,3.7,1007,1016,6.7,10.31
156,堡林,2014-02-04,-4.2,-6.6,-0.6,,4.4,-16.3,39.8,1.7,1016,1025.3,9.7,14.91
156,堡林,2014-02-05,-2.1,-5.9,2.7,,2.5,-16.9,32.6,1.7,1018.8,1028.1,3.3,7.81
156,堡林,2014-02-06,1.8,-1.4,5.9,0,2.3,-10.4,40.5,2.8,1015.4,1024.5,0.4,6.27
156,堡林,2014-02-07,4.7,0.9,8.3,0.1,3.5,-3.2,58,4.9,1009.2,1018.2,0,4.8
156,堡林,2014-02-08,2.7,1.5,3.8,2,1.6,0.4,85.4,6.3,1008.4,1017.5,0,2.14
156,堡林,2014-02-09,0.2,-1.8,3.5,0,2.2,-5,68.1,4.2,1012.2,1021.4,3,7.3
156,堡林,2014-02-10,1.4,-2.6,5.8,0,2.3,-4.1,67.5,4.5,1014.9,1024.1,2.3,8.14
156,堡林,2014-02-11,3.1,-1.8,9.3,,2.9,-6.2,52.5,3.9,1015.9,1025,9.3,13.94
156,堡林,2014-02-12,3.4,0.3,8.8,,1.6,-5.5,53.6,4.1,1018.2,1027.3,7.9,14.27
156,堡林,2014-02-13,3.7,-0.8,8.9,,2.9,-5.6,52.9,4.1,1019.7,1028.8,5.3,10.47
156,堡林,2014-02-14,3.6,-0.2,9.1,,3.7,-6,50.5,3.9,1017.8,1026.9,8.8,12.6
156,堡林,2014-02-15,3.3,-2.3,10.3,,1.5,-6.4,52.1,3.8,1017.9,1027,10.1,15.62
156,堡林,2014-02-16,5.4,-1.5,12.3,,1.1,-3.7,54.4,4.7,1019.4,1028.4,7.1,11.51
156,堡林,2014-02-17,5.7,2.8,9.3,2,2,-0.6,66.1,5.9,1016.7,1025.7,0,3.1
156,堡林,2014-02-18,3.8,0.9,8.3,,3.4,-3.3,61.1,4.8,1016.4,1025.5,3,8.89
156,堡林,2014-02-19,3.2,-1.4,9.2,,1.9,-6.9,50.1,3.7,1017,1026.1,8.9,14.85
156,堡林,2014-02-20,2.4,-2,9,,1.6,-5.2,58.3,4.2,1019.2,1028.4,9.6,15.24
156,堡林,2014-02-21,1.8,-2.7,8.8,,1.8,-8.4,50.3,3.3,1021.4,1030.6,10.4,17.06
156,堡林,2014-02-22,3.6,-2.5,10.9,,2.4,-6.7,50.8,3.7,1021.7,1030.9,9.8,15.58
156,堡林,2014-02-23,5.3,-1.2,13.5,,1.8,-6.1,47.1,3.9,1021.5,1030.5,9.4,14.56
156,堡林,2014-02-24,6.6,-0.4,15,,1.3,-4.2,49.1,4.5,1020,1029,9,14.39
156,堡林,2014-02-25,8.9,1.4,16.3,,1.7,-2.9,46.5,5,1019,1027.9,8.1,13.18
156,堡林,2014-02-26,8.2,6.7,11.3,3,2.2,2.4,68.8,7.4,1014.4,1023.2,0,3.63
156,堡林,2014-02-27,8.4,5.1,15.8,,1.5,2.4,69.4,7.4,1012.3,1021.1,7.1,14.31
156,堡林,2014-02-28,8,4.2,11.7,,1.2,2.4,69,7.3,1012.7,1021.5,1.1,7.3
156,堡林,2014-03-01,6.5,3.3,9,7,1.3,4.5,87.4,8.5,1010.2,1019.1,0,2.1
156,堡林,2014-03-02,5.7,1.2,11.4,,2.2,-4.5,52.5,4.5,1012.6,1021.6,9.8,16.84
156,堡林,2014-03-03,6.7,0,13.8,,1.7,-6.5,43.5,3.9,1017.9,1026.9,10.2,17.54
156,堡林,2014-03-04,6.6,2,11.7,,1.5,-3.4,50.5,4.8,1014.2,1023.1,1.1,7.69
156,堡林,2014-03-05,3.5,0.5,7.9,,3.7,-8.9,43.1,3.3,1015,1024.1,10.5,19.19
156,堡林,2014-03-06,2,-2.3,7.1,,2.6,-11.7,38.5,2.6,1019.5,1028.7,8.6,16.02
156,堡林,2014-03-07,2.7,-0.6,7.7,,2.8,-12.8,34.8,2.5,1021.6,1030.8,10.4,19.61
156,堡林,2014-03-08,2.9,-2.8,8.7,,1.5,-8.4,45.3,3.3,1017.2,1026.3,7.6,14.06
156,堡林,2014-03-09,2.7,-0.3,7.7,0.5,1.9,-5.3,57.4,4.3,1014,1023.1,7.1,11.68
156,堡林,2014-03-10,2.8,-2.2,9.2,,1.6,-7.9,47.3,3.4,1018.9,1028.1,10.9,20.1
156,堡林,2014-03-11,5.8,-2.5,15.7,,1.8,-8.3,43,3.3,1018.3,1027.3,10.2,18.2
156,堡林,2014-03-12,8.4,4,11.9,30.5,1.3,4.9,79.6,9.1,1007.5,1016.3,0,2.01
156,堡林,2014-03-13,5.3,3.1,8.5,7,1.7,3.5,88.3,7.9,1003.8,1012.7,0,1.19
156,堡林,2014-03-14,4.2,1.8,8.8,1,1.9,-1.7,67.8,5.5,1011.8,1020.8,7.9,13.74
156,堡林,2014-03-15,7.5,0,15.6,,2.6,1,66.3,6.6,1013.3,1022.2,10.6,17.99
156,堡林,2014-03-16,11.7,4.9,19.9,,2.2,4.6,64.5,8.5,1013.8,1022.6,10.5,18.1
156,堡林,2014-03-17,13.3,7.2,21.9,1.5,2.7,8.3,74.8,11.1,1010.9,1019.5,6.1,12.95
156,堡林,2014-03-18,12.6,7.6,18,0.2,2.6,6.5,70.4,10.1,1007.4,1016.1,5.6,11.2
156,堡林,2014-03-19,10.8,6.2,16.1,,1.2,4,64.1,8.1,1007.9,1016.6,2.3,8.81
156,堡林,2014-03-20,7.2,4.7,12,,2.6,-1.1,56.3,5.7,1006.9,1015.7,7.3,16.06
156,堡林,2014-03-21,6.2,2.9,10.4,,2.4,-4.6,49,4.5,1013.2,1022.1,10.5,19.79
156,堡林,2014-03-22,8.5,0.2,17.1,,1.9,0.5,59.4,6.4,1016.5,1025.4,11,20.01
156,堡林,2014-03-23,10.4,3.6,19.1,,1.3,-1.2,51.8,5.8,1019.9,1028.7,10.9,19.91
156,堡林,2014-03-24,11.8,3,19.6,0,2.5,1.8,52.4,7.1,1014.9,1023.7,9.8,19.4
156,堡林,2014-03-25,13.9,13.3,15.3,21,1.9,10.1,79.4,12.5,1006.8,1015.4,0,1.82
156,堡林,2014-03-26,13.8,10.9,18.9,19,1.6,11.4,86.1,13.5,1002.5,1011,3.7,6.94
156,堡林,2014-03-27,14,8.4,22.2,,1.3,7.6,69.6,10.4,1009.2,1017.8,8.1,16.54
156,堡林,2014-03-28,16.7,9.1,26.2,,2.4,5.5,53.9,9.3,1008.8,1017.4,8,17.79
156,堡林,2014-03-29,15.4,13.5,17.5,13,1.8,13.2,87.6,15.3,999.3,1007.8,0,2.57
156,堡林,2014-03-30,13.9,9.9,19.6,1,1.9,9,73.8,11.6,1001.8,1010.4,7.8,15.53
156,堡林,2014-03-31,13.4,7.9,21.9,,1.3,5.3,62.6,9,1008.5,1017.2,6.9,15.82
156,堡林,2014-04-01,15.2,7.3,24,,1.3,3.3,49.9,7.8,1007.8,1016.4,11.1,21.29
156,堡林,2014-04-02,15.5,8.3,24.5,,1.5,1.5,42.8,6.9,1008.4,1017,11.1,20.39
156,堡林,2014-04-03,11.9,6,20.4,,1.9,1.4,51.3,6.9,1005.6,1014.3,6.9,15.32
156,堡林,2014-04-04,8,4.4,12.4,,2.4,-4.6,43.4,4.4,1005.8,1014.6,11.5,23.23
156,堡林,2014-04-05,7.1,4.2,13,,2.3,-2.7,50.9,5,1007.4,1016.3,8.6,20.2
156,堡林,2014-04-06,8.3,4.1,13.9,,2.2,-4.5,43.8,4.5,1013.3,1022.1,11.2,23.98
156,堡林,2014-04-07,11,4.3,19,,1.3,-2.1,44.9,5.4,1011.6,1020.4,10.1,20.58
156,堡林,2014-04-08,13.2,4.4,22.3,,1.4,-1.6,40.3,5.6,1009.6,1018.3,11.6,23.05
156,堡林,2014-04-09,13.4,7.3,22.4,,1.8,5,59.9,8.8,1008.8,1017.4,11.2,22.06
156,堡林,2014-04-10,14.7,7.3,24.8,,2,6.4,61.6,9.6,1010.1,1018.8,9.5,20.49
156,堡林,2014-04-11,15.8,11.9,21,,1.8,4.3,48.1,8.3,1010.5,1019.1,1.9,13.61
156,堡林,2014-04-12,16.5,12.1,22.3,0,1.3,4.4,46.9,8.4,1008.5,1017,2.2,12.55
156,堡林,2014-04-13,13.9,10.6,18.3,9.5,2.5,9,73.6,11.5,1008.4,1017,0,9.22
156,堡林,2014-04-14,15,8,23.7,,1.4,3.4,54,8.1,1012.1,1020.8,11.6,23.19
156,堡林,2014-04-15,15.8,8.9,24.2,,1.5,8.2,63.5,10.9,1011.8,1020.4,11,21.16
156,堡林,2014-04-16,17.3,12.7,25.8,,1.7,3.2,46.3,8.4,1008,1016.5,6.2,18.74
156,堡林,2014-04-17,12.4,9.4,18.5,14.5,2,6.4,70.8,9.9,1004.2,1012.8,0,4.87
156,堡林,2014-04-18,13.9,11.4,17.4,2,1.9,11.5,86.3,13.6,1006.9,1015.5,0.2,7.02
156,堡林,2014-04-19,14.5,12.4,18.6,,2.5,8,66.6,10.8,1010.1,1018.7,2.3,9.59
156,堡林,2014-04-20,15.2,10.5,22.2,,2.1,4.7,51.3,8.6,1008.7,1017.3,9.1,21.49
156,堡林,2014-04-21,16.5,10.4,23.1,,2,4.4,46.8,8.4,1006.9,1015.4,11.3,22.44
156,堡林,2014-04-22,17,13.6,22.6,,1.9,-0.3,32.1,6,1007.3,1015.9,8.7,19.84
156,堡林,2014-04-23,16.8,8.9,25.3,,1.5,1.1,39.4,6.8,1010.3,1018.8,11.8,23.94
156,堡林,2014-04-24,18.6,11.5,26.7,,1.9,2.3,37.4,7.4,1013.1,1021.6,11.4,22.62
156,堡林,2014-04-25,18.4,10.7,28,,1.3,1.8,36.8,7,1014.7,1023.3,10.9,23.14
