ÁöÁ¡¸í,ÀÏ½Ã,¼ö¿Â(¡É),pH,DO(§·/L)_x,Chl-a (§·/§©),À¯ÇØ³²Á¶·ù ¼¼Æ÷¼ö (cells/§¢),Æò±Õ±â¿Â(¡ÆC),ÃÖÀú±â¿Â(¡ÆC),ÃÖ°í±â¿Â(¡ÆC),ÀÏ°­¼ö·®(mm),Æò±Õ Ç³¼Ó(m/s),Æò±Õ ÀÌ½½Á¡¿Âµµ(¡ÆC),Æò±Õ »ó´ë½Àµµ(%),Æò±Õ Áõ±â¾Ð(hPa),Æò±Õ ÇöÁö±â¾Ð(hPa),Æò±Õ ÇØ¸é±â¾Ð(hPa),ÇÕ°è ÀÏÁ¶½Ã°£(hr),ÇÕ°è ÀÏ»ç·®(MJ/m2),¼öÀ§(EL.m),DO(§·/L)_y,BOD(§·/L),COD(§·/L),Å¬·Î·ÎÇÊ a(§·/§©),TN(§·/L),TP(§·/L),TOC(§·/L),¼ö¼ÒÀÌ¿Â³óµµ,Àü±âÀüµµµµ(¥ìS/§¯),¿ëÁ¸ÃÑÁú¼Ò(§·/L),¾Ï¸ð´Ï¾Æ¼º Áú¼Ò(§·/L),Áú»ê¼º Áú¼Ò(§·/L),¿ëÁ¸ÃÑÀÎ(§·/L),ÀÎ»ê¿°ÀÎ(§·/L),SS(§·/L),À¯·®(§©/s)
½ÂÃÌº¸,2018-07-23,31.2,8.4,13.2,156.1,467.0,29.7,26.0,36.3,0.0,1.8,24.6,75.3,30.9,1000.8,1008.9,7.2,21.79,2.64,13.2,8.9,13.3,156.1,6.737,0.14800000000000002,9.3,8.4,441.0,6.346,3.942,2.346,0.059,0.022000000000000002,16.5,8.048
½ÂÃÌº¸,2018-07-30,32.4,8.7,13.3,150.6,417.0,30.3,27.6,36.0,0.0,1.7,23.3,67.4,28.6,994.8,1002.9,4.7,18.1,2.67,13.3,8.8,15.9,150.6,6.113,0.202,10.9,8.7,375.0,5.85,2.794,1.452,0.061,0.039,26.6,9.71
½ÂÃÌº¸,2018-08-06,32.5,8.6,12.5,174.7,465.0,30.8,26.1,37.7,0.0,1.5,24.8,72.9,31.4,998.4,1006.5,11.7,25.13,2.63,12.5,9.0,15.8,174.7,7.394,0.224,10.2,8.6,448.0,6.81,3.814,1.858,0.054000000000000006,0.026000000000000002,20.9,7.252999999999999
½ÂÃÌº¸,2018-08-13,31.5,7.9,9.5,54.6,342.0,30.7,27.3,35.7,0.0,2.0,24.5,70.6,30.7,1002.0,1010.1,11.2,25.57,2.7,9.5,7.4,12.8,54.6,4.901,0.345,9.9,7.9,351.0,4.89,4.074,0.568,0.259,0.22399999999999998,11.7,12.018
½ÂÃÌº¸,2018-08-20,29.8,8.4,10.2,85.3,805.0,27.2,24.3,33.4,0.0,2.5,21.0,69.8,25.0,998.7,1006.8,7.2,20.16,2.63,10.2,7.1,13.5,85.3,5.997999999999998,0.124,8.8,8.4,455.0,5.74,2.894,1.662,0.063,0.026000000000000002,12.2,7.245
½ÂÃÌº¸,2018-08-28,24.3,6.9,6.7,5.6,0.0,27.2,24.4,32.2,0.1,2.2,24.3,86.0,30.5,1004.3,1012.5,7.4,19.18,3.77,6.7,3.3,9.6,5.6,1.878,0.215,6.6,6.9,116.0,1.864,0.371,1.388,0.125,0.08199999999999999,48.1,217.329
½ÂÃÌº¸,2018-09-03,25.8,7.1,5.1,2.6,0.0,25.6,22.1,29.7,12.7,2.2,24.2,92.5,30.2,994.0,1002.1,2.3,12.68,2.86,5.1,3.0,6.0,2.6,3.338,0.24,5.5,7.1,228.0,3.063,1.545,1.277,0.155,0.136,10.3,28.952
½ÂÃÌº¸,2018-09-10,24.8,7.1,5.2,15.7,0.0,21.8,16.5,27.7,0.0,1.5,14.7,66.6,16.8,1011.1,1019.5,10.1,24.15,2.76,5.2,3.6,7.7,15.7,5.606,0.194,6.0,7.1,307.0,5.316,3.313,1.449,0.171,0.138,6.8,14.625
½ÂÃÌº¸,2018-09-17,25.1,7.4,7.2,54.3,146.0,22.8,19.9,28.3,0.0,1.1,18.3,77.0,21.1,1008.9,1017.3,7.5,18.48,2.74,7.2,6.0,9.9,54.3,4.811,0.214,7.7,7.4,317.0,4.574,3.057,0.958,0.142,0.136,13.6,15.826
½ÂÃÌº¸,2018-09-27,22.3,7.6,10.0,41.4,304.0,19.1,13.6,25.3,0.0,1.6,11.1,61.5,13.2,1009.0,1017.4,10.5,21.57,2.69,10.0,6.4,11.3,41.4,5.747999999999998,0.11,7.4,7.6,324.0,5.1389999999999985,2.15,1.91,0.037000000000000005,0.022000000000000002,10.4,11.305
½ÂÃÌº¸,2018-10-01,21.2,7.2,10.2,72.8,286.0,17.7,14.4,22.0,1.0,1.8,10.8,66.6,13.1,1002.2,1010.7,6.9,17.06,2.68,10.2,7.0,9.8,72.8,4.237,0.092,8.5,7.2,356.0,4.223,2.362,1.816,0.077,0.026000000000000002,9.7,10.083
½ÂÃÌº¸,2018-10-08,19.7,7.1,6.3,6.2,66.0,16.4,12.0,20.8,0.0,2.3,7.5,57.1,10.4,1010.5,1019.1,7.9,16.42,2.88,6.3,4.2,8.8,6.2,3.402,0.32299999999999995,7.5,7.1,194.0,3.382,1.72,1.4340000000000002,0.265,0.255,14.9,27.903
½ÂÃÌº¸,2018-10-15,18.1,7.4,8.8,27.3,23.0,15.9,9.8,21.5,0.0,1.4,10.1,70.6,12.4,1011.7,1020.3,9.6,17.11,2.69,8.8,3.8,7.1,27.3,5.3420000000000005,0.096,6.0,7.4,331.0,5.296,2.109,2.619,0.037000000000000005,0.034,8.4,12.326
½ÂÃÌº¸,2018-10-22,17.1,7.5,9.5,26.3,0.0,14.7,9.3,21.1,0.0,0.6,9.3,72.0,11.8,1011.9,1020.6,5.5,12.36,2.67,9.5,4.1,7.1,26.3,5.273,0.138,6.9,7.5,382.0,5.143,2.268,2.6210000000000004,0.032,0.015,7.8,5.575
½ÂÃÌº¸,2018-10-29,16.0,7.4,8.5,36.2,0.0,12.2,8.7,18.4,0.1,1.0,8.6,80.3,11.2,1006.6,1015.2,6.9,10.76,2.68,8.5,5.2,6.8,36.2,6.457999999999998,0.141,8.3,7.4,418.0,6.143,3.527,2.11,0.045,0.018000000000000002,6.8,8.431000000000001
½ÂÃÌº¸,2018-11-05,14.6,7.8,9.7,31.8,0.0,12.7,5.8,21.0,0.0,0.6,5.5,66.0,9.1,1014.2,1023.0,9.6,15.16,2.66,9.7,4.2,7.6,31.8,5.767,0.155,7.6,7.8,431.0,4.581,2.155,1.9,0.027000000000000003,0.019,5.4,6.875
½ÂÃÌº¸,2018-11-12,15.1,7.5,6.0,36.9,0.0,10.3,6.8,14.5,0.8,1.8,4.8,71.1,8.7,1010.4,1019.2,8.5,14.22,2.72,6.0,5.9,10.9,36.9,5.008,0.394,9.5,7.5,380.0,4.613,2.689,1.495,0.182,0.17300000000000001,13.4,11.748
½ÂÃÌº¸,2018-11-19,12.8,7.9,11.6,73.2,0.0,8.7,4.2,14.4,0.0,0.8,2.0,64.3,7.1,1014.1,1023.0,7.4,11.44,5.99,11.6,5.1,10.0,73.2,5.872999999999998,0.154,8.4,7.9,423.0,5.3210000000000015,2.4290000000000003,2.651,0.075,0.046,11.3,7.934
½ÂÃÌº¸,2018-11-26,11.1,7.8,11.5,85.5,0.0,8.7,2.7,16.2,0.0,0.3,3.8,75.4,8.1,1015.7,1024.6,9.0,12.56,5.97,11.5,5.3,10.2,85.5,6.104,0.134,8.9,7.8,424.0,5.9860000000000015,2.68,2.624,0.042,0.027000000000000003,12.1,7.336
½ÂÃÌº¸,2018-12-03,12.0,8.0,12.1,77.5,0.0,14.8,12.3,17.4,10.0,0.6,14.5,98.9,16.6,1008.7,1017.3,0.0,2.71,6.05,12.1,4.1,8.7,77.5,6.814,0.115,8.2,8.0,475.0,6.785,2.495,3.526,0.038,0.026000000000000002,10.9,17.461
½ÂÃÌº¸,2018-12-10,6.0,7.9,11.2,74.0,0.0,0.6,-4.9,7.4,0.0,2.1,-17.3,27.0,1.7,1023.5,1032.8,8.9,12.36,5.99,11.2,4.2,8.7,74.0,6.0779999999999985,0.231,8.7,7.9,442.0,5.716,2.681,2.564,0.095,0.067,9.3,11.589
½ÂÃÌº¸,2018-12-17,6.7,7.9,12.3,45.8,0.0,4.4,-0.1,9.2,0.0,0.8,-0.9,71.5,5.8,1011.0,1020.0,4.6,8.09,6.0,12.3,3.8,8.1,45.8,7.134,0.113,7.8,7.9,479.0,6.5470000000000015,2.61,3.482,0.035,0.022000000000000002,8.2,14.4
½ÂÃÌº¸,2018-12-24,8.9,7.8,11.1,ºÐ¼®Áß,0.0,1.8,-1.1,6.6,0.0,1.9,-5.6,58.9,4.1,1018.5,1027.7,9.0,11.93,5.99,11.1,3.7,7.9,51.3,6.647,0.099,7.6,7.8,468.0,6.532,2.436,3.375,0.041,0.035,9.6,7.536
½ÂÃÌº¸,2019-01-07,6.0,8.2,12.5,31.4,0.0,1.2,-3.2,6.3,0.0,1.5,-5.1,64.1,4.2,1019.4,1028.5,8.3,11.39,5.94,12.5,5.4,8.5,31.4,9.091,0.165,8.5,8.2,473.0,8.211,3.55,3.964,0.071,0.027999999999999997,7.3,6.029
½ÂÃÌº¸,2019-01-14,7.6,7.5,12.1,44.7,0.0,2.3,-2.2,9.3,0.0,0.9,-2.6,71.8,5.0,1016.6,1025.7,7.2,11.56,5.93,12.1,3.5,7.4,44.7,9.184,0.171,8.0,7.5,475.0,8.615,3.591,3.686,0.093,0.037000000000000005,10.1,6.814
½ÂÃÌº¸,2019-01-21,6.8,7.6,12.1,32.4,0.0,2.1,-2.1,8.0,0.0,1.3,-5.1,59.5,4.2,1014.8,1023.9,6.9,12.47,5.97,12.1,4.2,8.5,32.4,9.308,0.136,6.7,7.6,489.0,9.295,4.2639999999999985,3.486,0.051,0.025,10.0,6.606
½ÂÃÌº¸,2019-01-28,6.5,7.8,13.3,59.6,0.0,3.4,-0.1,8.5,0.0,1.6,-5.2,56.6,4.3,1014.9,1023.9,7.5,11.74,6.0,13.3,5.5,11.4,59.6,9.21,0.145,8.9,7.8,503.0,9.204,4.482,3.545,0.049,0.006999999999999999,13.0,6.2810000000000015
½ÂÃÌº¸,2019-02-07,8.1,7.4,8.9,99.0,0.0,2.5,-3.6,6.6,0.0,1.9,-5.3,59.1,4.6,1012.4,1021.4,4.9,10.54,6.0,8.9,6.6,14.2,99.0,5.577000000000001,0.246,11.3,7.4,394.0,5.529,2.636,2.457,0.058,0.033,20.8,7.706
½ÂÃÌº¸,2019-02-11,5.9,8.1,13.5,121.4,34.0,-0.1,-2.1,3.9,0.0,2.2,-9.0,51.4,3.1,1022.8,1032.1,9.0,15.28,5.97,13.5,6.6,13.6,121.4,9.075,0.151,9.2,8.1,454.0,7.992000000000001,4.231,3.007,0.043,0.019,17.7,6.805
½ÂÃÌº¸,2019-02-18,7.0,7.7,15.6,92.2,0.0,2.6,-1.6,6.3,0.6,1.1,-7.5,50.6,3.6,1015.9,1025.0,0.0,6.07,5.99,15.6,5.9,13.5,92.2,8.1,0.19,10.9,7.7,469.0,8.085,4.253,3.4330000000000003,0.039,0.009000000000000001,20.3,6.763
½ÂÃÌº¸,2019-02-25,9.0,8.0,11.6,148.2,0.0,6.6,1.5,13.9,0.0,1.2,-2.8,56.8,5.1,1012.8,1021.7,5.1,11.29,5.97,11.6,7.1,14.9,148.2,7.637,0.194,10.7,8.0,418.0,6.807,3.988,2.667,0.051,0.012,17.6,7.848
½ÂÃÌº¸,2019-03-04,12.0,7.6,12.8,68.1,0.0,9.3,6.1,15.0,0.0,1.5,0.4,55.4,6.3,1006.3,1015.1,7.8,16.31,5.98,12.8,5.2,10.7,68.1,8.738,0.112,8.7,7.6,472.0,8.727,5.474,2.781,0.068,0.012,10.1,6.728
½ÂÃÌº¸,2019-03-11,12.1,7.5,8.7,76.8,0.0,6.1,2.4,10.9,0.9,1.6,4.6,91.3,8.5,1002.6,1011.4,2.1,8.47,5.96,8.7,6.0,12.2,76.8,9.938,0.181,9.3,7.5,487.0,9.909,6.386,2.79,0.066,0.013999999999999999,11.5,6.155
½ÂÃÌº¸,2019-03-18,12.1,7.8,12.1,80.5,0.0,8.7,1.5,14.9,0.0,1.3,-2.8,46.1,5.0,1011.5,1020.3,5.0,15.7,5.97,12.1,6.9,14.7,80.5,8.277999999999999,0.26,9.9,7.8,469.0,8.243,5.685,2.529,0.079,0.016,14.2,5.857
½ÂÃÌº¸,2019-03-25,11.8,8.1,8.0,41.4,0.0,7.4,1.3,14.4,0.0,1.5,0.8,64.4,6.6,1010.2,1019.1,5.2,16.2,5.55,8.0,5.9,12.4,41.4,6.13,0.223,8.0,8.1,387.0,5.9220000000000015,3.033,2.491,0.103,0.066,12.8,16.455
½ÂÃÌº¸,2019-04-01,12.2,8.1,8.6,24.1,0.0,7.5,2.3,12.8,0.0,1.7,-3.2,49.8,5.0,1015.0,1023.9,11.2,24.69,2.7,8.6,5.5,11.3,24.1,8.005,0.2,8.9,8.1,471.0,7.515,3.618,3.09,0.097,0.024,22.4,18.307
½ÂÃÌº¸,2019-04-08,14.8,8.2,7.9,26.0,0.0,13.6,7.6,20.4,0.0,1.1,1.5,54.3,7.4,1006.5,1015.2,9.8,23.79,2.72,7.9,7.2,15.6,26.0,8.106,0.58,11.1,8.2,380.0,8.088,5.769,1.339,0.394,0.268,21.2,13.035
½ÂÃÌº¸,2019-04-15,13.7,9.0,11.8,84.0,0.0,11.9,4.4,20.7,0.0,1.1,-2.1,42.8,5.3,1011.3,1020.0,12.0,27.04,2.78,11.8,5.8,12.5,84.0,5.834,0.349,8.8,9.0,374.0,5.246,3.224,1.7719999999999998,0.062,0.019,28.5,21.184
½ÂÃÌº¸,2019-04-22,20.2,8.4,10.1,70.5,0.0,20.3,13.4,27.9,0.0,1.6,12.6,63.8,14.6,1006.3,1014.7,10.2,24.77,2.73,10.1,5.8,12.7,70.5,6.98,0.253,8.5,8.4,412.0,6.4689999999999985,4.5539999999999985,1.7990000000000002,0.081,0.021,18.0,14.51
½ÂÃÌº¸,2019-04-30,15.6,7.8,6.8,16.2,0.0,15.0,11.5,20.4,0.3,1.3,13.7,92.4,15.7,1000.5,1009.0,1.9,15.19,4.47,6.8,5.8,12.2,16.2,3.922,0.407,8.3,7.8,234.0,3.753,2.428,1.255,0.159,0.156,59.1,25.249
½ÂÃÌº¸,2019-05-07,19.4,8.6,10.1,41.1,0.0,14.5,6.8,22.0,0.0,1.3,-2.1,36.3,5.4,1008.9,1017.5,13.0,30.21,4.48,10.1,4.7,9.7,41.1,6.186,0.147,7.3,8.6,410.0,5.995,3.514,2.356,0.071,0.023,13.5,7.723
½ÂÃÌº¸,2019-05-13,21.6,7.5,12.4,79.0,0.0,20.4,13.8,27.9,0.0,1.3,9.4,51.9,11.9,1006.2,1014.6,8.8,24.3,4.46,12.4,5.5,11.9,79.0,6.702000000000001,0.192,8.4,7.5,451.0,6.688,4.021,2.485,0.073,0.019,12.3,5.984
½ÂÃÌº¸,2019-05-20,20.9,7.3,5.6,42.5,0.0,16.3,12.5,20.9,1.6,2.0,8.7,64.4,12.0,999.6,1008.0,7.0,21.04,5.54,5.6,4.3,9.7,42.5,4.323,0.181,7.0,7.3,290.0,4.126,1.271,1.724,0.064,0.038,10.7,13.853
½ÂÃÌº¸,2019-05-28,20.4,7.0,4.3,35.9,0.0,17.3,12.0,23.0,0.0,1.3,7.9,59.1,10.8,1004.1,1012.5,8.5,23.99,5.43,4.3,4.5,9.8,35.9,3.15,0.269,8.0,7.0,246.0,3.025,1.763,1.115,0.105,0.10099999999999999,16.5,36.764
½ÂÃÌº¸,2019-06-03,22.9,7.6,8.4,68.7,0.0,23.1,15.4,31.0,0.0,1.2,11.6,52.1,13.8,1000.1,1008.4,12.2,29.12,5.65,8.4,6.3,13.5,68.7,4.3180000000000005,0.195,10.9,7.6,322.0,4.261,2.49,1.743,0.049,0.016,16.4,21.386
½ÂÃÌº¸,2019-06-10,24.1,7.7,4.7,34.6,0.0,19.1,16.7,22.7,11.8,1.6,16.6,86.4,18.8,998.2,1006.6,0.7,10.45,5.56,4.7,5.4,11.1,34.6,3.511,0.247,8.0,7.7,295.0,3.505,2.037,1.413,0.098,0.085,10.8,21.006
½ÂÃÌº¸,2019-06-17,24.4,8.2,8.2,77.6,0.0,22.0,17.3,28.0,0.0,1.4,16.8,74.6,19.1,1004.3,1012.6,10.1,26.17,5.48,8.2,6.9,14.9,77.6,4.374,0.225,8.6,8.2,334.0,4.337,2.197,2.06,0.054000000000000006,0.009000000000000001,13.2,7.44
½ÂÃÌº¸,2019-06-24,26.0,7.9,4.8,74.7,48.0,23.7,19.1,30.1,0.0,1.6,18.3,74.8,21.0,1004.7,1013.0,9.1,26.46,5.52,4.8,6.8,14.4,74.4,5.528,0.132,9.3,7.9,347.0,5.376,3.397,1.635,0.073,0.037000000000000005,16.9,8.625
½ÂÃÌº¸,2019-07-02,24.3,7.2,3.8,8.3,0.0,23.9,20.6,29.6,1.1,0.9,19.4,78.0,22.6,1001.2,1009.4,9.6,24.88,5.56,3.8,4.8,10.8,8.3,4.91,0.217,8.7,7.2,265.0,4.9060000000000015,2.785,1.914,0.161,0.15,21.4,31.49
½ÂÃÌº¸,2019-07-08,27.1,7.3,6.7,67.1,164.0,23.4,20.2,28.8,0.0,2.0,18.4,75.6,21.2,998.4,1006.7,6.1,22.23,5.53,6.7,4.8,14.6,67.1,4.727,0.127,10.7,7.3,329.0,4.374,2.016,1.475,0.044,0.02,14.6,17.809
½ÂÃÌº¸,2019-07-15,26.4,8.7,7.4,63.7,46.0,25.2,21.5,29.5,0.0,1.5,21.4,80.9,25.6,999.3,1007.5,4.4,18.79,5.5,7.4,4.4,10.4,63.7,4.924,0.163,11.1,8.7,323.0,4.717,2.685,1.383,0.043,0.025,14.9,9.6
½ÂÃÌº¸,2019-07-23,26.6,8.1,4.7,5.9,0.0,27.7,25.2,31.4,0.0,2.3,24.7,84.4,31.1,997.9,1006.0,7.9,23.36,5.5,4.7,3.5,8.3,5.9,3.651,0.154,8.1,8.1,201.0,3.644,1.52,1.783,0.123,0.114,8.1,41.395
½ÂÃÌº¸,2019-07-29,26.1,7.4,5.7,4.3,24.0,28.3,25.1,31.8,0.0,2.8,24.4,80.6,30.5,1002.4,1010.6,12.6,25.52,5.45,5.7,2.8,7.0,4.3,2.39,0.153,7.7,7.4,165.0,2.3680000000000003,0.633,1.7280000000000002,0.093,0.08800000000000001,15.4,72.506
½ÂÃÌº¸,2019-08-05,30.2,7.7,8.6,65.4,0.0,29.3,25.6,34.7,0.0,0.9,24.9,78.5,31.5,1001.1,1009.2,7.5,18.71,5.52,8.6,4.6,10.0,65.4,3.816,0.165,5.9,7.7,326.0,3.427,1.529,1.865,0.045,0.005,9.0,9.967
½ÂÃÌº¸,2019-08-12,27.3,7.2,4.6,22.1,0.0,27.9,26.1,30.4,1.7,3.5,26.3,91.0,34.1,992.7,1000.8,4.5,15.3,5.77,4.6,3.1,12.8,22.1,3.724,0.305,11.0,7.2,230.0,3.59,1.989,1.356,0.197,0.188,39.7,155.564
½ÂÃÌº¸,2019-08-19,28.7,8.1,10.5,106.9,0.0,26.6,20.8,32.2,0.0,1.2,19.6,68.3,22.9,1000.8,1009.0,10.2,22.05,5.74,10.2,5.1,10.2,106.9,4.803,0.151,10.3,8.1,316.0,4.684,1.756,2.405,0.062,0.019,20.2,12.8
½ÂÃÌº¸,2019-09-10,25.8,7.2,5.4,5.4,54.0,26.7,24.0,30.5,0.0,2.9,23.2,82.3,28.4,1004.3,1012.4,9.0,19.19,5.43,5.4,3.5,7.0,5.4,3.045,0.238,4.9,7.2,228.0,2.978,1.189,1.198,0.185,0.17800000000000002,9.2,46.592
½ÂÃÌº¸,2019-09-16,27.3,8.0,10.1,43.8,761.0,24.6,21.6,29.5,0.0,1.2,20.0,77.6,23.5,1001.7,1009.9,5.4,15.82,5.54,10.1,4.6,8.1,43.8,3.832,0.07200000000000001,5.5,8.0,289.0,3.5860000000000003,1.337,1.801,0.03,0.003,6.1,20.979
½ÂÃÌº¸,2019-09-24,20.0,7.3,7.0,4.2,74.0,19.3,13.7,25.1,0.0,0.9,13.9,73.8,15.9,1010.5,1019.0,11.0,21.62,5.47,7.0,2.8,6.6,4.2,2.883,0.162,4.4,7.3,152.0,2.824,0.684,1.809,0.14400000000000002,0.14,11.5,73.722
½ÂÃÌº¸,2019-09-30,25.0,7.4,8.7,47.8,4025.0,23.5,19.0,28.8,0.0,0.8,20.4,83.3,24.0,1008.2,1016.6,7.1,14.74,5.67,8.7,4.1,7.2,47.8,3.606,0.093,4.8,7.4,268.0,3.532,1.034,2.045,0.03,0.006999999999999999,8.5,27.399
½ÂÃÌº¸,2019-10-07,21.3,7.5,7.3,3.2,147.0,16.6,15.9,18.3,6.9,1.1,15.4,93.1,17.5,1009.2,1017.7,0.0,2.76,5.42,7.3,1.2,4.7,3.2,3.397,0.079,3.1,7.5,219.0,3.362,0.6890000000000001,2.316,0.048,0.043,5.3,43.254
½ÂÃÌº¸,2019-10-14,20.3,7.6,8.8,29.4,2603.0,15.2,11.3,21.6,0.0,1.1,9.9,72.1,12.3,1016.6,1025.2,9.5,16.39,5.57,8.8,3.7,6.0,29.4,3.984,0.055,5.3,7.6,249.0,3.867,0.906,2.388,0.027000000000000003,0.017,9.6,27.438
½ÂÃÌº¸,2019-10-21,19.7,7.9,12.1,65.9,28.0,17.5,11.6,24.0,0.0,0.7,10.4,67.1,12.6,1009.2,1017.7,9.8,18.07,5.55,12.1,4.8,7.2,65.9,4.452,0.06,5.1,7.9,330.0,4.382,0.94,2.624,0.02,0.002,14.3,20.164
½ÂÃÌº¸,2019-10-28,17.1,8.2,12.7,88.7,0.0,13.1,6.7,19.3,0.0,1.2,7.1,69.9,10.1,1009.0,1017.6,9.0,16.04,5.52,12.7,5.8,8.2,88.7,4.791,0.056,7.4,8.2,365.0,4.668,1.763,2.484,0.015,0.002,11.9,8.7
½ÂÃÌº¸,2019-11-04,17.5,7.9,11.9,86.0,0.0,14.7,9.8,20.9,0.0,0.6,9.5,73.1,11.9,1012.8,1021.5,7.0,13.1,5.5,11.9,5.9,9.3,86.0,6.0939999999999985,0.071,8.4,7.9,398.0,5.085,1.886,2.972,0.018000000000000002,0.0,14.0,6.814
½ÂÃÌº¸,2019-11-11,14.8,7.6,9.6,26.9,0.0,13.0,9.9,17.8,1.0,1.2,9.2,79.8,11.7,1004.8,1013.4,5.8,9.99,6.16,9.6,4.8,7.4,26.9,6.901,0.079,6.6,7.6,447.0,6.774,2.949,3.111,0.071,0.064,7.5,4.9
½ÂÃÌº¸,2019-11-18,14.1,7.5,8.0,32.8,0.0,9.8,6.2,19.5,7.7,2.0,4.4,71.0,8.9,1011.3,1020.1,1.1,5.95,7.64,8.0,3.9,8.2,32.8,5.876,0.124,7.4,7.5,408.0,5.805,3.189,2.124,0.122,0.10800000000000001,4.7,42.926
½ÂÃÌº¸,2019-11-25,13.2,7.7,11.5,62.2,0.0,5.6,3.7,10.7,0.0,2.1,-1.6,59.8,5.5,1019.4,1028.4,0.0,5.63,7.61,11.5,5.4,9.0,62.2,6.574,0.07,8.3,7.7,421.0,6.32,2.8310000000000004,2.366,0.06,0.038,8.6,24.99
½ÂÃÌº¸,2019-12-09,8.0,7.7,15.5,99.5,0.0,4.5,-1.4,11.6,0.0,0.5,-0.3,72.9,6.0,1016.1,1025.1,6.2,9.83,6.0,15.5,6.8,13.5,99.5,6.82,0.097,10.2,7.7,483.0,6.395,2.805,3.124,0.026,0.004,20.9,9.533
½ÂÃÌº¸,2019-12-16,9.1,7.7,14.6,74.6,0.0,10.2,6.3,16.3,0.0,0.8,3.6,65.3,7.9,1014.3,1023.1,5.3,4.9,6.01,14.6,6.5,9.8,74.6,7.676,0.08199999999999999,8.0,7.7,492.0,7.421,2.929,3.482,0.024,0.01,11.7,10.534
½ÂÃÌº¸,2019-12-23,7.4,7.7,12.9,58.8,0.0,5.2,2.5,10.2,0.0,1.2,-0.1,70.1,6.1,1014.0,1023.0,4.6,8.06,6.0,12.9,5.9,9.0,58.8,6.246,0.062,7.3,7.7,456.0,5.921,2.222,3.149,0.011,0.002,11.5,10.533
½ÂÃÌº¸,2020-01-06,7.5,7.5,13.5,69.7,0.0,7.1,4.7,8.8,15.5,0.9,3.7,82.4,8.4,1015.4,1024.3,0.0,1.68,6.1,13.5,6.0,9.6,69.7,7.74,0.08800000000000001,8.6,7.5,439.0,7.6560000000000015,3.465,3.51,0.015,0.0,14.5,9.763
½ÂÃÌº¸,2020-01-13,7.0,7.3,11.0,16.9,0.0,2.3,-0.5,5.5,0.0,1.8,-4.9,59.0,4.3,1014.7,1023.8,3.0,7.74,6.22,11.0,4.0,7.2,16.9,5.089,0.103,5.4,7.3,280.0,5.0310000000000015,1.369,2.911,0.055,0.037000000000000005,10.5,12.415
½ÂÃÌº¸,2020-01-20,6.8,7.2,10.3,20.9,0.0,4.0,1.2,7.9,0.0,1.2,-2.9,63.1,5.0,1015.1,1024.1,5.4,10.13,6.01,10.3,4.0,7.4,20.9,6.702000000000001,0.094,5.9,7.2,364.0,6.441,2.484,3.641,0.042,0.03,7.4,10.533
½ÂÃÌº¸,2020-01-28,9.2,7.2,9.8,21.4,0.0,7.3,3.7,13.0,0.0,1.0,4.1,81.9,8.2,1008.1,1016.9,4.5,11.41,6.04,9.8,4.8,7.8,21.4,7.077000000000001,0.113,6.3,7.2,362.0,6.891,3.665,2.931,0.048,0.032,8.3,18.003
½ÂÃÌº¸,2020-02-03,8.6,7.2,12.9,28.3,0.0,2.0,-1.3,6.6,0.0,1.3,-4.1,65.8,4.6,1018.2,1027.3,6.0,12.28,6.06,12.9,5.7,8.9,28.3,6.6179999999999986,0.105,7.3,7.2,380.0,5.581,2.97,2.605,0.077,0.063,11.1,13.2
½ÂÃÌº¸,2020-02-10,6.9,7.3,12.1,24.0,0.0,5.6,-0.2,13.2,0.0,0.7,-3.1,56.8,4.9,1015.8,1024.8,8.1,14.08,6.0,12.1,5.5,8.5,24.0,7.367000000000001,0.08,6.9,7.3,393.0,7.2360000000000015,3.027,3.917,0.029,0.013999999999999999,7.3,7.83
½ÂÃÌº¸,2020-02-24,10.2,7.5,9.2,57.4,0.0,8.3,0.1,16.3,0.9,1.1,1.6,65.8,7.1,1015.7,1024.6,7.1,15.56,5.95,9.2,6.5,12.0,57.4,6.4460000000000015,0.303,8.7,7.5,437.0,5.995,3.259,2.271,0.168,0.152,14.5,23.341
½ÂÃÌº¸,2020-03-02,10.2,7.6,11.2,27.9,0.0,6.0,3.0,10.2,0.0,1.9,-3.6,52.4,4.8,1015.0,1023.9,9.9,21.9,6.02,11.2,5.0,7.9,27.9,4.507,0.109,6.0,7.6,317.0,4.493,2.012,2.144,0.044,0.028999999999999998,13.6,18.777
½ÂÃÌº¸,2020-03-09,11.3,7.1,10.5,31.5,0.0,9.4,5.1,13.9,4.5,1.6,6.6,84.3,9.8,1004.3,1013.0,0.3,8.66,5.96,10.5,6.0,9.0,31.5,7.135,0.15,7.4,7.1,382.0,6.643,3.58,2.698,0.038,0.011000000000000001,12.5,15.254
½ÂÃÌº¸,2020-03-16,11.1,7.6,13.6,88.4,0.0,5.4,0.2,12.5,0.0,1.8,-6.9,43.6,3.7,1014.1,1023.1,10.2,22.8,6.09,13.6,6.6,12.6,88.4,6.9510000000000005,0.131,8.4,7.6,392.0,6.6770000000000005,3.531,2.546,0.032,0.005,19.0,10.424
