수온(℃),pH,DO(㎎/L),Chl-a (㎎/㎥),유해남조류 세포수 (cells/㎖),평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 이슬점온도(°C),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),평균 해면기압(hPa),합계 일조시간(hr),합계 일사량(MJ/m2)
22.2,7.2,5.7,40.7,0.0,19.9,17.8,23.4,45.5,3.2,16.6,82.5,19.0,1000.1,1008.4,0.0,3.65
23.0,7.1,8.9,87.3,0.0,23.0,17.5,29.9,0.0,1.7,16.1,67.5,18.3,1003.5,1011.8,9.3,22.58
23.1,7.6,8.5,59.8,0.0,23.7,18.4,30.1,0.0,1.3,16.1,64.5,18.3,1007.6,1015.9,9.8,21.59
25.5,7.5,8.3,61.7,1225.0,24.4,21.3,27.6,0.0,2.1,16.2,60.6,18.4,998.1,1006.3,4.6,12.35
24.8,7.7,8.2,25.4,100.0,21.3,20.4,22.8,3.0,1.6,18.9,87.1,21.9,1000.9,1009.2,0.0,4.21
25.5,7.2,7.2,88.7,0.0,24.7,20.4,30.6,0.0,2.0,19.4,73.1,22.6,994.9,1003.0,4.6,15.74
26.6,7.3,6.9,57.1,0.0,23.4,18.2,28.6,0.0,1.5,17.2,69.9,19.7,997.9,1006.1,8.2,19.59
25.7,7.1,6.3,30.7,0.0,23.9,19.2,30.4,1.5,2.4,18.2,72.5,20.9,994.4,1002.5,9.6,22.46
27.2,7.4,7.5,45.0,0.0,27.3,24.4,31.4,0.0,4.7,22.1,73.9,26.7,995.9,1004.0,1.9,13.15
23.6,7.2,7.6,2.5,0.0,26.6,25.1,30.5,0.1,4.5,22.5,79.0,27.3,1001.1,1009.3,1.1,6.26
28.2,7.5,7.7,38.7,0.0,28.3,25.4,32.8,0.0,5.2,20.0,61.9,23.4,1001.9,1010.1,12.5,26.05
28.6,7.9,7.9,82.8,0.0,26.6,24.8,29.2,9.5,3.8,23.2,82.1,28.5,998.7,1006.9,0.5,6.25
27.7,7.0,4.8,28.6,125.0,28.1,26.0,33.2,5.5,3.0,24.8,83.4,31.3,994.5,1002.6,3.5,12.42
29.2,7.6,6.4,98.7,200.0,27.9,22.1,31.6,19.5,2.4,23.1,76.1,28.4,997.0,1005.1,7.2,16.21
30.1,8.2,7.5,98.6,0.0,30.1,26.3,35.7,0.0,2.7,24.5,73.0,30.7,998.2,1006.3,11.2,22.67
32.5,8.5,8.1,70.9,1325.0,28.8,24.3,35.0,0.0,1.5,21.8,67.8,26.1,1002.9,1011.0,11.9,23.01
32.1,8.2,6.4,55.1,1650.0,29.3,24.6,34.7,0.0,1.7,21.8,66.0,26.2,1002.9,1011.0,12.1,21.11
31.2,7.9,7.6,45.3,2900.0,30.3,25.8,35.7,0.0,1.4,22.4,64.4,27.0,998.6,1006.7,10.5,19.71
30.5,7.8,5.2,93.1,3400.0,29.8,26.3,35.3,0.1,2.2,23.5,69.6,28.9,1001.1,1009.2,6.2,13.39
26.2,6.8,6.1,2.6,0.0,26.1,23.2,30.9,0.0,1.0,19.9,70.1,23.3,997.2,1005.4,6.8,15.0
25.4,6.9,6.5,41.7,0.0,20.8,18.1,25.3,0.0,2.8,13.0,61.8,15.0,1003.8,1012.1,2.4,8.57
24.6,8.0,8.5,49.1,0.0,23.5,21.6,28.0,9.0,1.7,19.6,79.3,22.9,1006.0,1014.3,1.1,4.86
24.5,7.1,6.5,24.1,0.0,22.2,17.6,28.1,0.0,1.9,11.2,53.3,13.5,1004.2,1012.5,11.7,22.67
26.6,9.0,12.5,50.4,0.0,23.3,20.2,27.9,0.5,1.3,18.6,75.9,21.5,1004.3,1012.6,3.8,9.53
23.3,7.6,7.9,48.2,1300.0,22.1,18.7,29.8,3.5,1.4,18.5,81.9,21.2,1007.2,1015.5,6.0,13.7
22.6,7.1,9.8,69.0,0.0,21.7,19.2,24.2,8.0,3.6,18.7,83.4,21.6,1001.8,1010.2,0.0,5.16
21.8,7.0,8.4,44.0,0.0,19.1,13.1,26.4,0.0,1.0,10.8,61.4,12.9,1010.2,1018.7,10.2,16.66
19.1,7.6,10.9,83.2,0.0,16.9,11.5,23.6,0.0,1.8,9.4,64.6,11.8,1012.6,1021.2,9.9,15.46
16.6,8.2,10.6,57.1,0.0,12.9,9.3,18.3,0.0,1.7,5.0,62.3,8.9,1016.3,1025.0,9.6,14.63
16.9,7.3,9.8,56.5,0.0,13.1,10.1,17.9,0.0,1.5,7.3,69.6,10.2,1015.3,1024.1,8.1,9.91
13.7,7.9,10.0,35.5,0.0,6.7,2.5,11.6,0.0,2.8,-2.4,54.3,5.2,1013.2,1022.1,7.1,11.22
11.6,7.8,12.0,92.8,0.0,5.0,2.4,8.1,0.2,1.3,-1.6,64.3,5.5,1013.2,1022.2,5.0,6.45
9.8,7.7,9.9,17.4,0.0,2.8,-0.6,5.5,5.0,2.1,-0.4,80.6,6.0,1008.6,1017.6,0.6,2.41
8.0,7.2,10.1,16.2,0.0,5.8,0.8,11.6,0.0,0.9,0.6,71.1,6.4,1012.7,1021.7,7.4,8.97
8.7,7.5,10.7,19.4,0.0,3.0,0.8,5.2,1.5,2.3,-4.3,60.5,4.6,1006.9,1015.9,3.5,4.89
7.2,7.4,12.1,9.6,0.0,1.2,-1.9,4.1,0.0,1.7,-8.8,47.4,3.1,1019.7,1028.9,0.0,3.96
6.3,7.4,11.9,3.3,0.0,1.7,-2.5,7.8,0.0,1.3,-4.6,64.4,4.3,1021.2,1030.4,8.9,10.81
2.3,7.4,14.9,20.7,0.0,-6.0,-10.3,-0.7,0.0,2.0,-14.6,52.4,2.0,1022.3,1031.8,9.2,12.0
3.2,9.5,14.0,38.0,125.0,-3.4,-6.7,0.2,0.0,3.3,-11.1,55.1,2.6,1018.1,1027.4,8.2,11.61
3.9,7.2,17.8,57.9,0.0,0.5,-4.4,6.4,0.0,1.7,-5.3,67.0,4.2,1012.2,1021.4,7.9,10.52
3.6,7.0,13.7,65.7,0.0,4.1,3.2,6.4,0.2,1.8,1.5,83.9,6.8,1012.3,1021.3,0.0,2.03
5.3,8.0,14.8,63.5,0.0,3.9,-2.2,11.0,0.0,0.9,-0.9,72.6,5.8,1018.5,1027.6,6.9,10.24
6.3,6.9,12.7,34.4,0.0,1.3,0.4,3.5,2.0,2.0,-2.0,78.8,5.3,1011.0,1020.1,1.9,6.29
3.8,6.7,12.9,10.2,0.0,0.8,-4.7,6.9,0.0,2.0,-6.6,59.5,3.7,1018.8,1028.0,9.5,15.3
3.5,7.3,12.5,17.9,0.0,0.3,-2.9,4.8,0.0,3.6,-13.1,37.8,2.3,1015.9,1025.1,7.2,14.33
4.9,7.7,13.9,37.0,0.0,6.0,-2.2,14.0,0.0,1.0,-9.9,35.9,3.0,1019.2,1028.2,9.1,15.95
8.3,7.1,13.7,47.8,0.0,9.3,-0.5,19.2,0.0,2.2,-0.9,53.4,5.9,1013.2,1022.0,9.8,16.86
10.8,8.0,14.1,63.3,0.0,11.6,2.6,19.7,0.0,2.3,2.0,56.0,7.4,1007.3,1016.0,8.2,15.84
11.4,7.3,9.2,61.3,0.0,6.7,-1.1,13.5,0.0,2.9,0.6,65.6,7.2,1004.9,1013.8,5.5,10.97
12.5,7.1,12.2,47.8,0.0,10.4,3.6,20.0,0.0,1.6,-0.4,50.8,6.1,1007.6,1016.3,10.7,20.58
11.0,7.5,11.5,58.7,0.0,6.8,4.9,11.2,0.3,2.2,2.8,75.9,7.5,1006.4,1015.3,0.0,2.83
11.6,7.4,11.0,33.8,450.0,9.1,4.9,14.0,0.0,2.9,-4.5,43.9,4.7,1008.7,1017.5,11.0,23.9
14.5,8.3,11.6,47.5,375.0,13.1,6.9,19.5,0.0,2.3,4.6,61.4,9.1,1003.4,1012.1,7.2,16.79
14.4,7.8,10.9,60.1,0.0,13.1,9.0,19.0,0.4,2.4,7.9,74.1,10.7,1002.3,1011.0,9.1,21.88
15.4,7.8,9.8,39.4,0.0,13.3,7.3,21.7,0.0,1.6,2.4,56.5,7.6,1002.3,1010.9,7.8,16.24
18.3,8.4,11.4,41.1,125.0,17.4,8.6,26.0,0.0,1.3,2.1,39.3,7.1,1009.7,1018.3,12.6,26.07
21.8,7.6,7.7,18.8,0.0,21.3,13.7,29.1,0.0,2.5,10.1,51.6,12.4,1003.9,1012.3,12.0,26.74
21.6,7.4,5.9,11.5,0.0,17.0,13.7,21.4,0.0,1.4,13.0,78.3,15.0,996.5,1004.9,4.0,13.35
22.8,7.8,8.6,34.7,0.0,19.9,17.8,23.4,45.5,3.2,16.6,82.5,19.0,1000.1,1008.4,0.0,3.65
21.8,7.7,9.0,34.3,250.0,23.7,18.4,30.1,0.0,1.3,16.1,64.5,18.3,1007.6,1015.9,9.8,21.59
24.0,7.6,8.3,28.8,125.0,21.3,20.4,22.8,3.0,1.6,18.9,87.1,21.9,1000.9,1009.2,0.0,4.21
24.2,6.8,5.8,77.9,450.0,24.7,20.4,30.6,0.0,2.0,19.4,73.1,22.6,994.9,1003.0,4.6,15.74
26.4,8.1,8.4,38.2,0.0,23.4,18.2,28.6,0.0,1.5,17.2,69.9,19.7,997.9,1006.1,8.2,19.59
27.0,8.1,9.1,61.4,0.0,26.9,22.5,32.3,0.0,2.6,20.0,67.3,23.4,1000.4,1008.6,8.9,21.18
23.4,6.6,8.1,2.6,275.0,26.6,25.1,30.5,0.1,4.5,22.5,79.0,27.3,1001.1,1009.3,1.1,6.26
28.3,8.3,9.2,31.2,825.0,28.3,25.4,32.8,0.0,5.2,20.0,61.9,23.4,1001.9,1010.1,12.5,26.05
29.1,7.8,8.2,41.0,450.0,28.5,25.9,32.9,0.0,4.0,22.2,69.5,26.7,1001.3,1009.5,9.2,18.58
28.2,7.4,6.9,28.2,975.0,26.6,24.2,28.7,22.5,2.7,24.4,88.3,30.6,995.5,1003.7,0.0,3.96
29.2,8.1,7.5,48.8,750.0,29.4,24.3,34.5,0.0,2.4,23.7,72.3,29.3,998.9,1007.0,11.2,22.37
29.9,8.0,7.2,32.3,700.0,30.1,26.3,35.7,0.0,2.7,24.5,73.0,30.7,998.2,1006.3,11.2,22.67
32.0,8.7,9.1,34.2,2750.0,28.8,24.3,35.0,0.0,1.5,21.8,67.8,26.1,1002.9,1011.0,11.9,23.01
32.3,9.4,12.1,63.8,4875.0,29.3,24.6,34.7,0.0,1.7,21.8,66.0,26.2,1002.9,1011.0,12.1,21.11
31.4,9.4,8.0,59.5,4850.0,30.3,25.8,35.7,0.0,1.4,22.4,64.4,27.0,998.6,1006.7,10.5,19.71
31.6,9.4,9.3,205.2,20400.0,29.8,26.3,35.3,0.1,2.2,23.5,69.6,28.9,1001.1,1009.2,6.2,13.39
25.7,6.7,6.0,2.7,75.0,26.1,23.2,30.9,0.0,1.0,19.9,70.1,23.3,997.2,1005.4,6.8,15.0
27.3,7.5,8.1,17.0,0.0,26.7,22.3,32.1,0.0,2.2,19.4,66.6,22.6,999.6,1007.7,9.4,17.71
24.8,6.7,6.5,23.6,125.0,23.6,19.2,29.8,0.0,2.4,13.8,56.8,15.9,1004.9,1013.1,9.5,21.12
24.4,7.9,9.2,41.5,325.0,24.3,19.9,28.5,0.0,1.6,17.0,64.6,19.4,1005.4,1013.7,3.5,13.2
23.5,6.8,6.7,10.1,0.0,22.2,17.6,28.1,0.0,1.9,11.2,53.3,13.5,1004.2,1012.5,11.7,22.67
25.9,8.6,10.5,30.0,425.0,23.3,20.2,27.9,0.5,1.3,18.6,75.9,21.5,1004.3,1012.6,3.8,9.53
23.3,7.5,8.3,18.5,0.0,22.1,18.7,29.8,3.5,1.4,18.5,81.9,21.2,1007.2,1015.5,6.0,13.7
22.9,8.3,10.9,73.5,2000.0,21.7,19.2,24.2,8.0,3.6,18.7,83.4,21.6,1001.8,1010.2,0.0,5.16
21.1,8.1,9.0,40.8,300.0,16.5,13.1,19.9,0.0,2.3,11.6,73.8,13.7,1006.1,1014.7,7.8,13.94
19.4,7.9,10.1,43.2,2150.0,16.9,11.5,23.6,0.0,1.8,9.4,64.6,11.8,1012.6,1021.2,9.9,15.46
17.3,8.0,10.1,47.0,1250.0,11.9,6.1,18.4,0.0,0.8,2.6,58.1,7.5,1015.9,1024.7,7.0,12.16
16.6,7.6,10.4,61.6,0.0,13.1,10.1,17.9,0.0,1.5,7.3,69.6,10.2,1015.3,1024.1,8.1,9.91
14.0,8.2,10.3,26.2,0.0,6.7,2.5,11.6,0.0,2.8,-2.4,54.3,5.2,1013.2,1022.1,7.1,11.22
12.6,7.4,12.4,45.6,325.0,2.6,1.0,5.5,8.5,1.5,0.1,84.6,6.2,1009.0,1018.0,1.7,4.71
10.8,8.1,12.5,53.7,0.0,8.0,5.1,12.2,10.0,3.1,1.8,65.9,7.2,1003.1,1011.9,2.7,4.67
8.4,6.9,13.6,29.8,0.0,5.8,0.8,11.6,0.0,0.9,0.6,71.1,6.4,1012.7,1021.7,7.4,8.97
7.3,7.3,12.1,23.5,0.0,3.0,0.8,5.2,1.5,2.3,-4.3,60.5,4.6,1006.9,1015.9,3.5,4.89
6.3,7.3,12.7,10.7,0.0,1.2,-1.9,4.1,0.0,1.7,-8.8,47.4,3.1,1019.7,1028.9,0.0,3.96
5.4,7.7,12.0,10.3,0.0,1.7,-2.5,7.8,0.0,1.3,-4.6,64.4,4.3,1021.2,1030.4,8.9,10.81
6.2,7.3,14.7,12.0,0.0,3.8,-2.2,9.6,0.0,0.9,-5.0,54.1,4.2,1016.1,1025.2,5.6,7.37
5.2,7.5,12.2,32.6,0.0,-2.5,-6.2,2.6,0.0,3.2,-16.2,38.0,1.8,1022.8,1032.2,8.9,11.88
5.3,7.7,14.8,28.3,0.0,-1.2,-5.5,3.7,0.0,2.2,-7.5,62.5,3.5,1020.1,1029.4,9.5,11.62
6.3,7.6,11.4,32.1,0.0,3.7,-0.6,10.4,0.0,1.1,-4.4,57.6,4.5,1015.9,1024.9,6.9,9.39
8.0,7.5,12.2,73.5,0.0,-4.2,-6.6,-0.6,0.0,4.4,-16.3,39.8,1.7,1016.0,1025.3,9.7,14.91
6.0,7.8,11.5,79.1,0.0,1.4,-2.6,5.8,0.0,2.3,-4.1,67.5,4.5,1014.9,1024.1,2.3,8.14
7.7,7.5,12.9,52.9,0.0,3.8,0.9,8.3,0.0,3.4,-3.3,61.1,4.8,1016.4,1025.5,3.0,8.89
8.5,7.6,12.5,24.2,0.0,6.6,-0.4,15.0,0.0,1.3,-4.2,49.1,4.5,1020.0,1029.0,9.0,14.39
10.2,7.0,9.1,21.5,0.0,6.6,2.0,11.7,0.0,1.5,-3.4,50.5,4.8,1014.2,1023.1,1.1,7.69
8.8,7.8,11.9,66.8,0.0,2.8,-2.2,9.2,0.0,1.6,-7.9,47.3,3.4,1018.9,1028.1,10.9,20.1
11.1,7.3,7.8,33.8,0.0,12.6,7.6,18.0,0.2,2.6,6.5,70.4,10.1,1007.4,1016.1,5.6,11.2
11.6,8.2,12.2,91.0,575.0,11.8,3.0,19.6,0.0,2.5,1.8,52.4,7.1,1014.9,1023.7,9.8,19.4
15.9,7.1,4.6,24.5,0.0,15.2,7.3,24.0,0.0,1.3,3.3,49.9,7.8,1007.8,1016.4,11.1,21.29
14.7,7.7,8.7,51.1,0.0,11.0,4.3,19.0,0.0,1.3,-2.1,44.9,5.4,1011.6,1020.4,10.1,20.58
16.8,7.4,9.5,52.7,0.0,15.8,8.9,24.2,0.0,1.5,8.2,63.5,10.9,1011.8,1020.4,11.0,21.16
17.3,7.3,7.1,76.7,325.0,16.5,10.4,23.1,0.0,2.0,4.4,46.8,8.4,1006.9,1015.4,11.3,22.44
18.0,7.5,7.7,58.6,0.0,15.0,12.4,18.2,11.5,3.4,11.4,80.3,13.5,1001.4,1009.9,0.0,2.79
18.7,7.6,9.9,46.4,0.0,16.0,7.2,23.9,0.0,2.9,2.7,44.1,7.6,1006.3,1014.9,12.6,27.1
19.9,7.6,10.0,91.2,0.0,18.1,14.3,23.4,8.0,3.0,11.5,68.3,13.7,1000.3,1008.8,11.6,25.3
22.1,7.8,8.5,64.0,0.0,18.1,16.1,21.7,12.5,1.5,13.9,78.0,16.0,998.6,1007.0,1.1,5.37
22.8,7.3,10.8,85.2,0.0,21.4,17.3,26.7,1.5,2.3,8.3,50.6,11.9,996.8,1005.1,11.2,26.47
23.4,7.9,9.7,86.4,0.0,22.3,17.7,28.1,0.0,2.9,13.9,60.5,15.9,993.9,1002.1,9.8,23.66
24.1,7.5,7.6,74.9,0.0,20.6,18.3,23.4,5.5,3.1,13.3,64.4,15.4,998.1,1006.4,0.4,5.29
24.6,8.0,9.8,62.7,0.0,23.7,19.7,28.7,0.0,2.1,16.4,64.9,18.7,1000.8,1009.1,7.2,16.86
24.7,8.2,11.2,50.8,0.0,23.6,18.7,30.5,0.0,1.7,14.5,60.6,16.8,998.5,1006.7,8.1,21.23
25.2,7.4,8.7,53.3,0.0,23.0,19.5,28.7,4.0,2.0,16.9,71.1,19.4,998.9,1007.1,8.9,17.68
26.3,8.3,10.3,69.3,1050.0,25.4,20.3,32.0,0.0,2.0,17.2,62.3,19.6,1002.3,1010.5,9.3,22.17
23.4,7.0,3.5,64.4,0.0,22.8,19.9,25.8,0.5,1.8,19.1,80.1,22.1,997.6,1005.9,0.1,8.27
26.8,7.7,8.4,50.2,0.0,24.3,22.7,27.1,0.1,1.7,19.5,75.4,22.8,1002.4,1010.7,0.0,6.16
25.6,7.1,5.9,7.4,0.0,27.3,24.0,33.0,0.0,1.9,21.8,73.5,26.1,1001.2,1009.4,9.1,21.29
28.0,8.1,7.5,99.5,625.0,22.4,18.8,27.4,27.0,1.6,17.6,75.8,20.1,1001.1,1009.4,1.0,9.22
25.0,7.0,7.6,7.3,0.0,27.3,23.4,32.3,0.1,1.6,22.2,75.1,26.8,997.4,1005.5,8.9,18.06
26.5,7.5,7.3,41.4,600.0,24.2,20.7,29.3,0.0,1.5,16.9,65.6,19.3,994.6,1002.8,11.5,22.29
22.9,7.2,7.8,1.8,0.0,23.1,21.7,26.1,5.0,1.6,20.7,86.9,24.4,1002.6,1010.9,0.0,5.62
23.1,6.7,7.1,3.2,0.0,25.1,22.4,29.0,1.0,1.3,20.8,78.0,24.5,1003.0,1011.2,6.7,13.99
24.7,7.5,8.0,12.0,125.0,23.5,17.8,29.9,0.0,1.7,15.8,64.8,18.0,1005.4,1013.7,10.5,19.82
25.5,7.2,8.2,22.4,0.0,22.9,16.7,29.5,0.0,1.2,15.1,63.3,17.3,1004.4,1012.7,9.3,18.14
25.0,7.5,10.3,20.6,0.0,22.5,18.3,29.3,0.0,1.9,12.5,55.8,14.6,1006.8,1015.2,8.2,17.11
23.8,7.7,11.4,44.3,700.0,22.2,15.9,29.9,0.0,1.3,12.6,57.5,14.7,1009.6,1018.0,10.0,18.29
23.3,6.9,4.9,9.1,0.0,20.6,16.7,25.3,0.0,1.5,16.4,77.9,18.7,1007.7,1016.1,6.1,12.47
21.8,7.9,13.8,27.0,0.0,16.7,12.2,22.4,0.0,1.7,7.7,58.1,10.6,1009.5,1018.0,10.8,18.37
20.1,7.4,10.1,4.6,475.0,15.2,11.3,21.5,0.0,1.1,8.3,66.1,11.0,1008.3,1016.9,10.3,15.63
19.2,7.4,7.6,5.8,750.0,19.4,15.0,23.0,34.5,1.1,17.6,90.0,20.2,1004.8,1013.2,0.6,5.0
17.9,6.7,6.7,11.1,0.0,13.4,8.9,19.2,0.0,2.2,2.5,50.8,7.5,1014.2,1022.9,10.1,16.27
14.8,7.5,7.6,39.4,0.0,10.6,4.0,18.4,0.0,0.9,2.9,62.5,7.6,1013.6,1022.4,10.1,14.87
14.2,7.6,13.6,70.8,0.0,9.8,4.1,16.7,0.0,0.9,3.4,66.5,7.9,1009.0,1017.8,6.9,10.83
11.9,7.6,13.5,50.4,0.0,7.0,3.3,12.2,0.0,2.0,-0.5,60.3,5.9,1019.6,1028.6,9.3,12.29
12.1,7.0,11.1,28.6,0.0,11.8,10.9,13.5,71.5,3.0,10.1,90.0,12.4,1009.2,1017.9,0.0,0.72
9.7,7.2,7.8,5.4,0.0,2.8,-2.0,6.6,0.5,2.1,-1.9,72.1,5.3,1012.8,1021.8,2.8,5.66
6.8,6.7,9.7,2.2,0.0,1.7,-0.9,6.6,2.5,2.6,-2.7,73.8,5.1,1020.7,1029.9,6.6,7.9
6.0,7.2,10.6,3.6,0.0,4.0,-1.5,9.5,0.5,1.5,-2.1,66.5,5.3,1016.9,1026.0,4.6,7.59
5.2,6.0,9.7,2.8,0.0,2.7,-1.7,8.1,0.0,1.0,-1.7,73.5,5.4,1017.8,1026.9,2.4,2.0
5.8,7.3,11.8,2.8,0.0,4.5,0.6,9.3,0.3,1.1,0.0,73.1,6.1,1007.8,1016.8,6.1,7.64
4.3,7.9,16.8,28.4,0.0,3.8,-2.2,9.6,0.0,0.9,-5.0,54.1,4.2,1016.1,1025.2,5.6,7.37
3.5,8.8,16.0,63.7,0.0,-2.5,-6.2,2.6,0.0,3.2,-16.2,38.0,1.8,1022.8,1032.2,8.9,11.88
3.2,9.0,16.2,152.8,0.0,-1.2,-5.5,3.7,0.0,2.2,-7.5,62.5,3.5,1020.1,1029.4,9.5,11.62
3.3,9.3,18.2,95.6,0.0,0.4,-5.6,7.9,0.0,1.2,-7.5,59.1,3.5,1018.1,1027.4,9.5,13.05
3.9,9.0,16.8,56.7,0.0,2.7,-4.5,10.6,0.0,1.7,-7.1,54.1,3.7,1016.4,1025.5,9.7,13.34
4.0,9.1,16.3,67.1,0.0,3.7,-0.6,10.4,0.0,1.1,-4.4,57.6,4.5,1015.9,1024.9,6.9,9.39
4.2,8.9,13.5,55.0,0.0,-4.2,-6.6,-0.6,0.0,4.4,-16.3,39.8,1.7,1016.0,1025.3,9.7,14.91
4.7,8.9,15.6,67.0,0.0,3.1,-1.8,9.3,0.0,2.9,-6.2,52.5,3.9,1015.9,1025.0,9.3,13.94
5.3,9.0,16.4,49.3,0.0,5.7,2.8,9.3,2.0,2.0,-0.6,66.1,5.9,1016.7,1025.7,0.0,3.1
5.5,9.0,14.7,115.8,0.0,3.2,-1.4,9.2,0.0,1.9,-6.9,50.1,3.7,1017.0,1026.1,8.9,14.85
6.3,8.8,15.2,60.9,0.0,6.6,-0.4,15.0,0.0,1.3,-4.2,49.1,4.5,1020.0,1029.0,9.0,14.39
7.7,8.9,14.5,23.2,0.0,6.6,2.0,11.7,0.0,1.5,-3.4,50.5,4.8,1014.2,1023.1,1.1,7.69
7.4,7.8,11.8,27.5,0.0,5.8,-2.5,15.7,0.0,1.8,-8.3,43.0,3.3,1018.3,1027.3,10.2,18.2
9.6,8.0,13.5,49.3,0.0,12.6,7.6,18.0,0.2,2.6,6.5,70.4,10.1,1007.4,1016.1,5.6,11.2
10.7,8.2,11.0,21.0,0.0,11.8,3.0,19.6,0.0,2.5,1.8,52.4,7.1,1014.9,1023.7,9.8,19.4
14.4,7.3,8.6,21.4,0.0,15.2,7.3,24.0,0.0,1.3,3.3,49.9,7.8,1007.8,1016.4,11.1,21.29
14.1,7.9,10.8,49.2,0.0,13.2,4.4,22.3,0.0,1.4,-1.6,40.3,5.6,1009.6,1018.3,11.6,23.05
16.0,6.9,9.2,46.5,0.0,15.8,8.9,24.2,0.0,1.5,8.2,63.5,10.9,1011.8,1020.4,11.0,21.16
16.4,7.3,9.0,29.1,0.0,16.5,10.4,23.1,0.0,2.0,4.4,46.8,8.4,1006.9,1015.4,11.3,22.44
17.7,7.3,6.8,20.4,0.0,15.0,12.4,18.2,11.5,3.4,11.4,80.3,13.5,1001.4,1009.9,0.0,2.79
17.9,7.3,6.6,23.7,0.0,16.0,7.2,23.9,0.0,2.9,2.7,44.1,7.6,1006.3,1014.9,12.6,27.1
19.5,7.5,6.0,17.8,0.0,20.1,12.7,27.7,0.0,2.2,11.8,62.3,13.9,1001.0,1009.4,11.9,25.17
21.5,7.3,7.8,17.7,0.0,18.1,16.1,21.7,12.5,1.5,13.9,78.0,16.0,998.6,1007.0,1.1,5.37
22.6,7.8,8.1,32.8,0.0,22.6,14.8,29.8,0.0,2.9,11.3,51.0,13.5,995.0,1003.2,12.2,25.15
23.8,8.5,11.6,63.2,0.0,20.6,18.3,23.4,5.5,3.1,13.3,64.4,15.4,998.1,1006.4,0.4,5.29
24.0,7.4,6.4,19.7,0.0,23.7,19.7,28.7,0.0,2.1,16.4,64.9,18.7,1000.8,1009.1,7.2,16.86
24.5,7.6,4.4,38.6,0.0,21.6,19.6,26.0,1.0,2.0,16.3,72.8,18.6,996.8,1005.1,3.0,11.06
24.9,7.9,7.1,50.2,2675.0,22.2,20.1,26.6,3.0,1.8,17.9,77.4,20.6,998.9,1007.1,3.9,12.68
26.1,7.8,8.0,32.0,1725.0,25.4,20.3,32.0,0.0,2.0,17.2,62.3,19.6,1002.3,1010.5,9.3,22.17
24.6,7.3,3.7,29.5,2225.0,26.1,22.1,31.8,0.5,1.7,21.3,75.6,25.4,998.6,1006.7,3.9,14.13
25.6,7.9,7.9,22.5,1700.0,24.3,22.7,27.1,0.1,1.7,19.5,75.4,22.8,1002.4,1010.7,0.0,6.16
25.3,7.0,7.3,19.0,0.0,26.6,23.0,31.1,0.0,2.8,21.0,72.3,24.9,1000.4,1008.5,7.8,17.33
27.3,7.5,7.5,20.7,675.0,22.4,18.8,27.4,27.0,1.6,17.6,75.8,20.1,1001.1,1009.4,1.0,9.22
23.6,6.8,6.8,6.3,250.0,27.3,23.4,32.3,0.1,1.6,22.2,75.1,26.8,997.4,1005.5,8.9,18.06
26.0,7.8,7.7,5.5,600.0,25.3,19.5,31.3,0.0,1.0,18.6,68.3,21.6,997.1,1005.3,11.2,22.03
23.0,7.1,8.0,1.2,0.0,23.1,21.7,26.1,5.0,1.6,20.7,86.9,24.4,1002.6,1010.9,0.0,5.62
23.7,7.3,9.3,1.9,0.0,25.1,22.4,29.0,1.0,1.3,20.8,78.0,24.5,1003.0,1011.2,6.7,13.99
24.3,8.0,10.1,16.7,225.0,23.5,17.8,29.9,0.0,1.7,15.8,64.8,18.0,1005.4,1013.7,10.5,19.82
24.6,8.1,7.5,5.9,1350.0,22.9,16.7,29.5,0.0,1.2,15.1,63.3,17.3,1004.4,1012.7,9.3,18.14
25.3,8.2,11.0,7.6,1425.0,22.5,18.3,29.3,0.0,1.9,12.5,55.8,14.6,1006.8,1015.2,8.2,17.11
24.9,8.4,13.2,17.1,1750.0,22.2,15.9,29.9,0.0,1.3,12.6,57.5,14.7,1009.6,1018.0,10.0,18.29
22.8,7.9,12.2,12.0,0.0,20.7,18.9,22.5,4.5,1.4,17.5,82.6,20.0,1005.0,1013.4,0.0,3.07
21.6,7.2,7.3,3.4,0.0,17.0,11.3,24.0,0.0,1.2,8.4,60.4,11.1,1013.5,1022.1,10.8,18.08
20.8,7.5,8.3,4.0,250.0,15.2,11.3,21.5,0.0,1.1,8.3,66.1,11.0,1008.3,1016.9,10.3,15.63
19.2,7.3,8.3,3.0,500.0,18.9,17.3,20.4,27.0,1.9,17.3,90.8,19.8,1008.9,1017.3,0.0,2.17
17.4,7.4,8.0,17.2,0.0,12.2,5.3,20.9,0.0,0.9,2.4,55.5,7.3,1017.0,1025.8,10.1,16.04
15.4,7.2,8.0,7.3,0.0,10.6,4.0,18.4,0.0,0.9,2.9,62.5,7.6,1013.6,1022.4,10.1,14.87
14.2,7.5,9.1,8.8,0.0,9.8,4.1,16.7,0.0,0.9,3.4,66.5,7.9,1009.0,1017.8,6.9,10.83
12.6,7.2,8.8,7.5,0.0,7.8,5.3,12.8,1.0,1.0,2.0,68.1,7.1,1016.6,1025.5,5.8,8.0
11.8,7.0,10.4,10.3,0.0,11.7,8.1,16.0,0.0,1.7,7.7,77.3,10.5,1007.2,1015.9,4.9,8.03
